Rank,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
4596,Big Strike Bowling,PS,Sports,Gotham Games,230000,160000,0,30000,420000
4597,Ragnarok Odyssey,PSV,Role-Playing,GungHo,220000,10000,160000,30000,420000
4598,Harry Potter and the Deathly Hallows - Part 1,DS,Action,Electronic Arts,200000,190000,0,40000,420000
4599,Horsez,DS,Simulation,Ubisoft,380000,10000,0,30000,420000
4600,SpongeBob's Truth or Square (US sales),DS,Action,THQ,420000,0,0,0,420000
4601,NASCAR Thunder 2002,PS,Racing,Electronic Arts,230000,160000,0,30000,420000
4602,Grandia,SAT,Role-Playing,ESP,0,0,420000,0,420000
4603,ESPN NHL 2K5,XB,Sports,Global Star,320000,90000,0,20000,420000
4604,Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005,GBA,Misc,Konami Digital Entertainment,300000,110000,0,10000,420000
4605,Hot Wheels World Race,PS2,Racing,THQ,210000,160000,0,50000,420000
4606,Avatar: The Last Airbender - The Burning Earth,PS2,Action,THQ,210000,160000,0,50000,420000
4607,Superman: Shadow of Apokolips,PS2,Action,Atari,210000,160000,0,50000,420000
4608,NiGHTS: Journey of Dreams,Wii,Platform,Sega,330000,30000,40000,30000,420000
4609,American Chopper,PS2,Racing,Zoo Digital Publishing,350000,10000,0,60000,420000
4610,Vanquish,X360,Shooter,Sega,190000,170000,30000,40000,420000
4611,Star Wars Trilogy: Apprentice of the Force,GBA,Action,Ubisoft,300000,110000,0,10000,420000
4612,Marvel Super Hero Squad,DS,Fighting,THQ,370000,20000,0,30000,420000
4613,Lemony Snicket's A Series of Unfortunate Events,GBA,Platform,Activision,300000,110000,0,10000,420000
4614,JGTC: All-Japan Grand Touring Car Championship,PS,Racing,TYO,230000,160000,0,30000,420000
4615,NBA Live 06,PSP,Sports,Electronic Arts,390000,0,0,30000,420000
4616,Arc the Lad III,PS,Role-Playing,Sony Computer Entertainment,0,0,390000,30000,420000
4617,Solitaire Overload,DS,Misc,Telegames,390000,0,0,30000,420000
4618,Mobile Suit Gundam: Gundam vs. Gundam,PSP,Fighting,Namco Bandai Games,0,0,420000,0,420000
4619,Test Drive,XB,Racing,Atari,350000,50000,0,20000,420000
4620,Jikkyou Powerful Pro Yakyuu 11,PS2,Sports,Konami Digital Entertainment,0,0,420000,0,420000
4621,Ghost Trick: Phantom Detective,DS,Adventure,Capcom,200000,80000,120000,30000,420000
4622,The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,PS2,Action,THQ,210000,160000,0,50000,420000
4623,Rush 2: Extreme Racing USA,N64,Racing,Midway Games,350000,60000,0,0,420000
4624,NFL Blitz 2001,N64,Sports,Midway Games,340000,70000,0,0,420000
4625,Dr. Mario 64,N64,Puzzle,Nintendo,340000,70000,0,0,420000
4626,Jikkyou Powerful Pro Yakyuu 6,N64,Sports,Konami Digital Entertainment,0,0,390000,30000,420000
4627,Army Men: Sarge's Heroes 2,N64,Shooter,3DO,340000,70000,0,0,420000
4628,James Bond 007: Everything or Nothing,GC,Shooter,Electronic Arts,320000,80000,0,10000,420000
4629,Green Day: Rock Band,PS3,Misc,MTV Games,190000,160000,0,70000,420000
4630,Wolfenstein: The Old Blood,PS4,Action,Bethesda Softworks,90000,250000,20000,60000,420000
4631,MLB 08: The Show,PS2,Sports,Sony Computer Entertainment,350000,10000,0,60000,420000
4632,Disney Infinity 2.0: Marvel Super Heroes,XOne,Action,Disney Interactive Studios,240000,150000,0,30000,420000
4633,Dance Dance Revolution Ultramix 2,XB,Simulation,Konami Digital Entertainment,320000,90000,0,20000,420000
4634,Mega Man Anniversary Collection,GC,Platform,Capcom,320000,80000,0,10000,420000
4635,Blazing Angels: Squadrons of WWII,X360,Simulation,Ubisoft,360000,30000,0,30000,420000
4636,Super Famista 4,SNES,Sports,Namco Bandai Games,0,0,420000,0,420000
4637,The Fairly Odd Parents: Game Boy Advance Video Volume 2,GBA,Misc,,300000,110000,0,10000,420000
4638,Cabela's Legendary Adventures,PS2,Sports,Activision,210000,160000,0,50000,420000
4639,Taiko no Tatsujin DS: Dororon! Youkai Daikessen!!,DS,Misc,Namco Bandai Games,0,0,420000,0,420000
4640,Harry Potter and the Goblet of Fire,GC,Action,Electronic Arts,320000,80000,0,10000,420000
4641,JumpStart: Escape from Adventure Island,Wii,Adventure,Knowledge Adventure,390000,0,0,30000,420000
4642,Thrillville: Off the Rails,PS2,Strategy,LucasArts,200000,160000,0,50000,420000
4643,Style Lab: Makeover,DS,Simulation,Ubisoft,350000,30000,0,30000,420000
4644,Condemned: Criminal Origins,X360,Action,Sega,360000,30000,0,30000,420000
4645,Mega Man X6,PS,Action,Capcom,140000,100000,160000,30000,420000
4646,Monster Jam: Urban Assault,Wii,Racing,Activision,390000,0,0,30000,420000
4647,BloodRayne,PS2,Shooter,Universal Interactive,200000,160000,0,50000,420000
4648,Kumamon Bomber: Puzzle de Kumamon Taisou,GC,Puzzle,Sega,320000,80000,0,10000,420000
4649,Castlevania: Curse of Darkness,PS2,Action,Konami Digital Entertainment,180000,140000,50000,50000,420000
4650,Tom Clancy's HAWX 2,PS3,Action,Ubisoft,210000,120000,30000,50000,420000
4651,Harvest Moon: Grand Bazaar,DS,Simulation,Rising Star Games,220000,50000,130000,20000,420000
4652,International Superstar Soccer Pro '98,PS,Sports,Konami Digital Entertainment,20000,20000,350000,30000,420000
4653,Jimmy Neutron: Boy Genius,GBA,Platform,THQ,300000,110000,0,10000,420000
4654,Black,XB,Shooter,Electronic Arts,310000,90000,0,10000,420000
4655,Zack & Wiki: Quest for Barbaros' Treasure,Wii,Adventure,Nintendo,180000,170000,30000,40000,420000
4656,Double Pack: Finding Nemo / The Incredibles,XB,Action,THQ,310000,90000,0,10000,420000
4657,Star Wars The Clone Wars: Republic Heroes,PSP,Action,LucasArts,210000,130000,0,80000,420000
4658,NBA 2K11,PSP,Action,Take-Two Interactive,390000,0,0,30000,420000
4659,Animal Crossing: Amiibo Festival,WiiU,Misc,Nintendo,190000,110000,90000,30000,420000
4660,Hyrule Warriors,3DS,Action,Nintendo,160000,120000,110000,30000,420000
4661,Harry Potter and the Deathly Hallows - Part 1,PS3,Action,Electronic Arts,130000,210000,0,80000,420000
4662,Fishing Resort,Wii,Sports,Namco Bandai Games,160000,0,250000,10000,420000
4663,WWE All Stars,PS3,Fighting,THQ,160000,180000,0,70000,420000
4664,Lord of the Rings: The Third Age,XB,Role-Playing,Electronic Arts,310000,90000,0,10000,420000
4665,Football Manager Handheld 2011,PSP,Sports,Sega,0,280000,0,140000,420000
4666,Pirates of the Caribbean: At World's End,PS2,Action,Disney Interactive Studios,200000,160000,0,50000,420000
4667,Mega Man Legends 2,PS,Adventure,Capcom,170000,120000,100000,30000,420000
4668,X-Men vs. Street Fighter,PS,Fighting,Capcom,160000,110000,120000,30000,420000
4669,High Rollers Casino,PS2,Misc,Mud Duck Productions,200000,160000,0,50000,420000
4670,Castlevania: The Dracula X Chronicles,PSP,Platform,Konami Digital Entertainment,220000,90000,40000,70000,420000
4671,The Suffering,PS2,Action,Midway Games,200000,160000,0,50000,420000
4672,Cyber Troopers Virtual-On,SAT,Fighting,Sega,0,0,420000,0,420000
4673,Katamari Forever,PS3,Puzzle,Namco Bandai Games,260000,50000,60000,40000,420000
4674,Star Wars Starfighter: Special Edition,XB,Simulation,LucasArts,300000,100000,0,20000,420000
4675,TimeShift,X360,Shooter,Vivendi Games,360000,20000,0,30000,410000
4676,NBA Jam,PS2,Sports,Acclaim Entertainment,200000,160000,0,50000,410000
4677,Zone of the Enders: The 2nd Runner,PS2,Simulation,Konami Digital Entertainment,150000,120000,110000,40000,410000
4678,Ghostbusters: The Video Game,DS,Action,Atari,260000,120000,0,40000,410000
4679,Attack on Titan: Humanity in Chains,3DS,Action,Screenlife,0,0,410000,0,410000
4680,Jampack Spring 2004 (RP-T),PS2,Misc,Sony Computer Entertainment,200000,160000,0,50000,410000
4681,Dexter's Laboratory Deesaster Strikes,GBA,Adventure,BAM! Entertainment,300000,110000,0,10000,410000
4682,NFL GameDay 2004,PS2,Sports,Sony Computer Entertainment,200000,160000,0,50000,410000
4683,Scooby-Doo and the Cyber Chase,GBA,Adventure,Ubisoft,300000,110000,0,10000,410000
4684,Danganronpa: Trigger Happy Havoc,PSV,Misc,Nippon Ichi Software,140000,70000,150000,60000,410000
4685,TERA,PC,Role-Playing,Unknown,240000,120000,0,50000,410000
4686,Tomb Raider: The Last Revelation,PC,Action,Eidos Interactive,410000,0,0,0,410000
4687,pro evolution soccer 2011,PS2,Sports,Konami Digital Entertainment,40000,210000,50000,110000,410000
4688,Sega Rally Championship 2,DC,Racing,Sega,0,0,410000,0,410000
4689,Quake II,PS,Shooter,Activision,230000,160000,0,30000,410000
4690,Crash of the Titans,PS2,Action,Vivendi Games,340000,10000,0,60000,410000
4691,BioShock,PC,Shooter,Take-Two Interactive,10000,390000,0,20000,410000
4692,Cars: Mater-National Championship,PS3,Racing,THQ,370000,10000,0,30000,410000
4693,MLB 10: The Show,PS2,Sports,Sony Computer Entertainment,200000,160000,0,50000,410000
4694,Wheel of Fortune: 2nd Edition,PS,Misc,Hasbro Interactive,230000,160000,0,30000,410000
4695,Tom Clancy's Rainbow Six: Lockdown,XB,Shooter,Ubisoft,260000,130000,0,20000,410000
4696,Mobile Suit Gundam: Gundam vs. Gundam NEXT PLUS,PSP,Fighting,Namco Bandai Games,0,0,410000,0,410000
4697,Cool Boarders 2001,PS,Sports,Sony Computer Entertainment,230000,160000,0,30000,410000
4698,Grudge Warriors,PS,Action,Take-Two Interactive,230000,160000,0,30000,410000
4699,World Soccer Jikkyou Winning Eleven 2000: U-23 Medal heno Chousen,PS,Sports,Konami Digital Entertainment,0,0,390000,30000,410000
4700,Destiny: The Taken King,PS3,Shooter,Activision,160000,170000,20000,60000,410000
4701,Mobile Suit Gundam,SAT,Action,Namco Bandai Games,0,0,410000,0,410000
4702,Mass Effect Trilogy,X360,Action,Electronic Arts,280000,100000,0,30000,410000
4703,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PSP,Shooter,Activision,170000,150000,0,90000,410000
4704,Wolfenstein: The New Order,X360,Shooter,Bethesda Softworks,180000,190000,0,40000,410000
4705,James Patterson Women's Murder Club: Games of Passion,DS,Adventure,THQ,150000,220000,0,50000,410000
4706,Farming Simulator 2015,X360,Simulation,Koch Media,210000,160000,0,40000,410000
4707,Jimmy Neutron: Boy Genius,PS2,Platform,THQ,200000,160000,0,50000,410000
4708,Itadaki Street DS,DS,Misc,Square Enix,0,0,410000,0,410000
4709,Castlevania: Order of Ecclesia,DS,Platform,Konami Digital Entertainment,310000,30000,40000,30000,410000
4710,BlazBlue: Continuum Shift,PS3,Fighting,PQube,210000,80000,90000,40000,410000
4711,X-Men: The Official Game,PS2,Action,Activision,200000,160000,0,50000,410000
4712,300: March to Glory,PSP,Action,Warner Bros. Interactive Entertainment,270000,80000,0,60000,410000
4713,E0: Enemy Zero,SAT,Adventure,Sega,0,0,410000,0,410000
4714,Nicktoons: Unite!,PS2,Adventure,THQ,340000,10000,0,60000,410000
4715,Six Flags Fun Park,Wii,Misc,Ubisoft,280000,100000,0,40000,410000
4716,Spore Hero,Wii,Simulation,Electronic Arts,360000,30000,0,30000,410000
4717,Mass Effect Trilogy,PS3,Action,Electronic Arts,370000,0,0,40000,410000
4718,NASCAR Racing,PS,Racing,Pioneer LDC,230000,160000,0,30000,410000
4719,LEGO Jurassic World,PSV,Action,Warner Bros. Interactive Entertainment,90000,230000,0,90000,410000
4720,Monotaro Dentetsu 2010: Sengoku Ishin no Hero Daishuugou! no Maki,Wii,Misc,Hudson Soft,0,0,410000,0,410000
4721,Up,PSP,Action,THQ,240000,100000,0,70000,410000
4722,Spider-Man: Web of Shadows,X360,Action,Activision,360000,20000,0,30000,410000
4723,Boku no Natsuyasumi 2: Umi no Bouken Hen,PS2,Adventure,Sony Computer Entertainment,0,0,410000,0,410000
4724,SpongeBob SquigglePants,Wii,Misc,THQ,360000,30000,0,30000,410000
4725,Cars: Race-O-Rama,PSP,Racing,THQ,290000,70000,0,60000,410000
4726,Fantastic Pets,X360,Simulation,THQ,300000,80000,0,30000,410000
4727,Command & Conquer: Red Alert,PS,Strategy,Virgin Interactive,230000,160000,0,30000,410000
4728,Star Wars The Clone Wars: Republic Heroes,DS,Action,LucasArts,230000,140000,0,40000,410000
4729,Dig Dug,NES,Puzzle,Namco Bandai Games,0,0,410000,0,410000
4730,Ogre Battle 64: Person of Lordly Caliber,N64,Role-Playing,Nintendo,100000,20000,250000,40000,410000
4731,Superman: The New Superman Adventures,N64,Action,Titus,330000,70000,0,0,410000
4732,UEFA Euro 2008 Austria-Switzerland,PS3,Sports,Electronic Arts,80000,270000,0,60000,410000
4733,The Terminator: Dawn of Fate,PS2,Action,Atari,200000,160000,0,50000,410000
4734,The LEGO Movie Videogame,PSV,Action,Warner Bros. Interactive Entertainment,50000,260000,0,90000,410000
4735,Rogue Galaxy: Director's Cut,PS2,Role-Playing,Sony Computer Entertainment,200000,160000,0,50000,410000
4736,Armored Core,PS,Simulation,Sony Computer Entertainment,130000,90000,160000,30000,410000
4737,Monster Trucks Mayhem,Wii,Racing,Zoo Games,390000,0,0,20000,410000
4738,Winter Sports 2: The Next Challenge,Wii,Sports,RTL,180000,190000,0,40000,410000
4739,Green Day: Rock Band,X360,Misc,MTV Games,240000,130000,0,40000,410000
4740,Densha De Go! 2,PS,Simulation,Taito,0,0,380000,30000,410000
4741,Transformers: Fall of Cybertron,PS3,Action,Activision,190000,150000,0,70000,410000
4742,Call of Duty: Advanced Warfare,PC,Shooter,Activision,140000,230000,0,40000,410000
4743,Disney Princess: Enchanting Storybooks,Wii,Misc,THQ,260000,110000,0,40000,410000
4744,Monopoly Streets,PS3,Misc,Electronic Arts,160000,180000,0,70000,410000
4745,Band Hero,PS2,Misc,Activision,150000,60000,0,200000,410000
4746,The Wonderful 101,WiiU,Action,Nintendo,200000,100000,80000,30000,410000
4747,No More Heroes 2: Desperate Struggle,Wii,Action,Rising Star Games,210000,120000,40000,30000,410000
4748,Battlefield 2: Modern Combat,X360,Shooter,Electronic Arts,350000,20000,10000,30000,410000
4749,Armored Core 2: Another Age,PS2,Simulation,Metro 3D,110000,80000,190000,30000,410000
4750,Buzz! Junior: Jungle Party,PS2,Misc,Sony Computer Entertainment,200000,160000,0,50000,410000
4751,Mortal Kombat: Deadly Alliance,GC,Fighting,Midway Games,310000,80000,0,10000,410000
4752,Marvel: Ultimate Alliance,Wii,Role-Playing,Activision,370000,10000,0,30000,410000
4753,NBA 2K11,PS2,Action,Take-Two Interactive,340000,10000,0,60000,410000
4754,AKB1/48: Idol to Koishitara...,PSP,Misc,Namco Bandai Games,0,0,410000,0,410000
4755,Pro Pinball,PS,Misc,Empire Interactive,230000,150000,0,30000,410000
4756,'98 Koshien,PS,Sports,Magical Company,150000,100000,120000,30000,410000
4757,NBA 2K9,PS2,Sports,Take-Two Interactive,340000,10000,0,60000,410000
4758,Yu-Gi-Oh! The Eternal Duelist Soul (JP sales),GBA,Misc,Konami Digital Entertainment,0,0,400000,10000,410000
4759,Speed Racer: The Videogame,Wii,Racing,Warner Bros. Interactive Entertainment,360000,20000,0,30000,410000
4760,Naughty Bear,X360,Action,505 Games,210000,160000,0,40000,410000
4761,Littlest Pet Shop,Wii,Simulation,Electronic Arts,340000,40000,0,30000,410000
4762,TNA iMPACT!,PS3,Fighting,Midway Games,220000,120000,0,60000,410000
4763,Just Dance Kids 2,X360,Misc,Ubisoft,290000,90000,0,30000,410000
4764,Duke Nukem Forever,PC,Shooter,Take-Two Interactive,180000,170000,0,60000,410000
4765,Hatsune Miku: Project Diva 2nd,PSP,Misc,Sega,0,0,410000,0,410000
4766,Marvel: Ultimate Alliance 2,PS2,Role-Playing,Activision,230000,20000,0,160000,410000
4767,Mario no Super Picross,SNES,Puzzle,Nintendo,0,0,410000,0,410000
4768,"Ed, Edd n Eddy: The Mis-Edventures",PS2,Platform,Midway Games,340000,10000,0,60000,410000
4769,Jikkyou Powerful Pro Yakuu '94,SNES,Sports,Konami Digital Entertainment,0,0,410000,0,410000
4770,Disney's Tarzan Untamed,PS2,Platform,Ubisoft,200000,160000,0,50000,410000
4771,Borderlands: The Handsome Collection,XOne,Shooter,Take-Two Interactive,240000,130000,0,40000,410000
4772,The Gunstringer,X360,Shooter,Microsoft Game Studios,260000,110000,0,40000,410000
4773,Knockout Kings 2001,PS,Fighting,Electronic Arts,230000,150000,0,30000,410000
4774,From Russia With Love,PS2,Action,Electronic Arts,340000,10000,0,60000,410000
4775,FIFA Soccer 13,PC,Action,Electronic Arts,20000,310000,0,70000,410000
4776,Asura's Wrath,PS3,Action,Capcom,180000,120000,60000,50000,410000
4777,Avatar: The Game,DS,Action,Ubisoft,190000,180000,0,40000,410000
4778,My Virtual Tutor: Reading Adventure First to Second Grade,DS,Misc,Mentor Interactive,380000,0,0,30000,410000
4779,Minority Report: Everybody Runs,PS2,Action,Activision,200000,150000,0,50000,410000
4780,Disney's Hercules / Disney's The Jungle Book: Groove Party / A Bug's Life,PS,Misc,Sony Computer Entertainment,230000,150000,0,30000,400000
4781,NFL GameDay 2002,PS,Sports,Sony Computer Entertainment,230000,150000,0,30000,400000
4782,Pengo,2600,Adventure,Atari,380000,20000,0,0,400000
4783,Disney Sing It! High School Musical 3: Senior Year,PS3,Misc,Disney Interactive Studios,80000,260000,0,70000,400000
4784,Story of Seasons,3DS,Simulation,Nintendo,0,130000,260000,10000,400000
4785,Beowulf: The Game,X360,Action,Ubisoft,360000,10000,0,30000,400000
4786,Mouse Trap,2600,Action,Coleco,380000,20000,0,0,400000
4787,Super Monkey Ball: Step & Roll,Wii,Action,Sega,170000,200000,0,40000,400000
4788,Hatsune Miku: Project Diva F 2nd,PSV,Misc,Sega,130000,60000,160000,60000,400000
4789,Overlord,X360,Strategy,Codemasters,340000,30000,10000,30000,400000
4790,Tak and the Power of Juju,GC,Platform,THQ,310000,80000,0,10000,400000
4791,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PS3,Action,Activision,320000,40000,10000,40000,400000
4792,Sega Superstars Tennis,PS3,Sports,Sega,130000,200000,0,80000,400000
4793,LEGO Harry Potter: Years 5-7,3DS,Action,Warner Bros. Interactive Entertainment,180000,190000,0,40000,400000
4794,Dragon Quest X,WiiU,Role-Playing,Square Enix,0,0,400000,0,400000
4795,Wall-E,PS3,Platform,THQ,120000,210000,0,80000,400000
4796,Medarot: Kabuto / Kuwagata Version,GB,Role-Playing,Imagineer,0,0,400000,0,400000
4797,NBA 2K10,PS2,Sports,Take-Two Interactive,330000,10000,0,50000,400000
4798,Defender,PS2,Misc,Midway Games,200000,150000,0,50000,400000
4799,NFL GameDay 2003,PS2,Sports,Unknown,200000,150000,0,50000,400000
4800,WipeOut 3 The Game,Wii,Action,Activision,380000,0,0,30000,400000
4801,Taiko no Tatsujin Wii: Dodon to 2 Yome!,Wii,Misc,Namco Bandai Games,0,0,400000,0,400000
4802,Thief (2014),PS3,Action,Square Enix,100000,200000,20000,80000,400000
4803,Congo Bongo,2600,Action,Sega,370000,20000,0,0,400000
4804,Gauntlet: Seven Sorrows,PS2,Role-Playing,Midway Games,200000,150000,0,50000,400000
4805,Harry Potter: Quidditch World Cup,GC,Sports,Electronic Arts,310000,80000,0,10000,400000
4806,Advance Wars: Dual Strike,DS,Strategy,Nintendo,300000,30000,40000,30000,400000
4807,Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009,DS,Action,Konami Digital Entertainment,270000,10000,90000,30000,400000
4808,Warriors Orochi 2 (JP sales),PS2,Action,Tecmo Koei,0,0,400000,0,400000
4809,WWE SmackDown! vs. RAW 2006,PSP,Fighting,THQ,360000,10000,0,30000,400000
4810,The Chronicles of Narnia: Prince Caspian,PS2,Action,Disney Interactive Studios,200000,150000,0,50000,400000
4811,The Incredibles: Rise of the Underminer,GBA,Action,THQ,290000,110000,0,10000,400000
4812,Pet in TV,PS,Strategy,Sony Computer Entertainment,0,0,380000,30000,400000
4813,Battalion Wars,GC,Strategy,Nintendo,250000,70000,70000,10000,400000
4814,NBA ShootOut 2000,PS,Sports,989 Studios,220000,150000,0,30000,400000
4815,Power Rangers: Dino Thunder,GC,Action,THQ,310000,80000,0,10000,400000
4816,Rocksmith 2014,XOne,Misc,Ubisoft,290000,80000,0,40000,400000
4817,Samurai Shodown,SNES,Fighting,Takara,0,0,400000,0,400000
4818,NHL 15,XOne,Sports,Electronic Arts,310000,60000,0,30000,400000
4819,TMNT,Wii,Action,Ubisoft,340000,30000,0,30000,400000
4820,Final Fantasy Crystal Chronicles: The Crystal Bearers,Wii,Action,Square Enix,220000,80000,80000,30000,400000
4821,Cabela's Big Game Hunter 2010,PS3,Sports,Activision Value,370000,0,0,30000,400000
4822,EA Sports UFC 2,XOne,Sports,Electronic Arts,230000,140000,0,40000,400000
4823,Fighting Vipers,SAT,Fighting,Sega,0,0,400000,0,400000
4824,NCAA GameBreaker 2000,PS,Sports,989 Studios,220000,150000,0,30000,400000
4825,Iron Man 2,PS3,Action,Sega,140000,190000,0,70000,400000
4826,The Legend of Spyro: Dawn of the Dragon,PS2,Platform,Vivendi Games,120000,10000,0,270000,400000
4827,AKB1/48: Idol to Guam de Koishitara...,PSP,Misc,Namco Bandai Games,0,0,400000,0,400000
4828,RR64: Ridge Racer 64,N64,Racing,Nintendo,320000,70000,0,0,400000
4829,Top Gear Rally,N64,Racing,Kemco,320000,70000,0,0,400000
4830,NFL Quarterback Club 2000,N64,Sports,Acclaim Entertainment,370000,30000,0,0,400000
4831,Mortal Kombat Mythologies: Sub-Zero,N64,Fighting,Midway Games,320000,70000,0,0,400000
4832,18 Wheeler: American Pro Trucker,PS2,Racing,Acclaim Entertainment,200000,150000,0,50000,400000
4833,Atari Anthology,PS2,Misc,Atari,330000,10000,0,50000,400000
4834,Bugs Bunny: Lost in Time,PS,Platform,Infogrames,220000,150000,0,30000,400000
4835,NBA Jam,X360,Sports,Electronic Arts,270000,100000,0,30000,400000
4836,Sherlock Holmes: The Mystery of the Mummy,DS,Adventure,Focus Home Interactive,60000,300000,0,40000,400000
4837,Hot Wheels: Beat That!,PS2,Racing,Activision,200000,150000,0,50000,400000
4838,MLB 2006,PS2,Sports,Sony Computer Entertainment,330000,10000,0,50000,400000
4839,Star Wars The Clone Wars: Republic Heroes,X360,Action,LucasArts,180000,170000,0,40000,400000
4840,Brunswick Pro Bowling,PS2,Sports,505 Games,200000,150000,0,50000,400000
4841,Mafia II,PC,Action,Take-Two Interactive,170000,170000,0,60000,400000
4842,Rocket Power: Dream Scheme,GBA,Action,THQ,290000,110000,0,10000,400000
4843,SpongeBob's Truth or Square (US sales),Wii,Action,THQ,380000,10000,0,0,400000
4844,MX vs. ATV Unleashed,XB,Racing,THQ,320000,70000,0,10000,400000
4845,Rampage: Total Destruction,GC,Action,Midway Games,310000,80000,0,10000,400000
4846,Planet 51,DS,Action,Sega,220000,140000,0,40000,400000
4847,The Urbz: Sims in the City,GC,Simulation,Electronic Arts,240000,140000,0,20000,400000
4848,Road Rash: Jailbreak,PS,Racing,Electronic Arts,220000,150000,0,30000,400000
4849,Mother 3,GBA,Role-Playing,Nintendo,0,0,390000,10000,400000
4850,Nicktoons: Freeze Frame Frenzy,GBA,Action,THQ,290000,110000,0,10000,400000
4851,Diner Dash: Sizzle & Serve,DS,Puzzle,Eidos Interactive,340000,30000,0,30000,400000
4852,Rapala Pro Bass Fishing 2010,X360,Sports,Activision,320000,50000,0,30000,400000
4853,Legends of WrestleMania,X360,Fighting,THQ,200000,160000,0,40000,400000
4854,Wii Sports Club,WiiU,Sports,Nintendo,190000,140000,40000,30000,400000
4855,Tomb Raider: Anniversary,X360,Action,Eidos Interactive,120000,230000,0,50000,400000
4856,You Don't Know Jack,PS,Misc,Vivendi Games,220000,150000,0,30000,400000
4857,Mystery Dungeon: Shiren the Wanderer,SNES,Role-Playing,ChunSoft,0,0,400000,0,400000
4858,Sonic Lost World,WiiU,Platform,Sega,240000,120000,10000,30000,400000
4859,Condemned 2: Bloodshot,PS3,Action,Sega,170000,160000,0,70000,400000
4860,Silent Hill: Homecoming,PS3,Action,Konami Digital Entertainment,180000,150000,0,60000,400000
4861,Star Wars: Clone Wars,GC,Shooter,Activision,310000,80000,0,10000,400000
4862,NBA Live 2002,XB,Sports,Electronic Arts,350000,30000,0,20000,400000
4863,Boku no Natsuyasumi,PS,Adventure,Sony Computer Entertainment,0,0,370000,30000,400000
4864,Armored Core V,PS3,Simulation,Namco Bandai Games,90000,40000,240000,20000,400000
4865,I-Ninja,PS2,Platform,Sony Computer Entertainment,190000,150000,0,50000,400000
4866,Command & Conquer,PS,Strategy,Virgin Interactive,220000,150000,0,30000,400000
4867,Harvest Moon: Save the Homeland,PS2,Simulation,Unknown,190000,150000,0,50000,400000
4868,NBA Jam,PS3,Sports,Electronic Arts,220000,120000,0,60000,400000
4869,Mass Effect 2,PC,Role-Playing,Electronic Arts,10000,320000,0,70000,400000
4870,SD Gundam G Generation Seed,PS2,Strategy,Namco Bandai Games,0,0,400000,0,400000
4871,Call of Duty: Finest Hour,GC,Shooter,Activision,310000,80000,0,10000,400000
4872,Scooby-Doo! and the Spooky Swamp,DS,Action,Warner Bros. Interactive Entertainment,260000,100000,0,30000,400000
4873,Naruto: Path of the Ninja,DS,Role-Playing,D3Publisher,370000,0,0,30000,400000
4874,Rise of the Tomb Raider,X360,Adventure,Square Enix,170000,190000,0,30000,400000
4875,Hitman: Blood Money,X360,Action,Eidos Interactive,290000,60000,10000,30000,400000
4876,Tales of Phantasia,SNES,Role-Playing,Namco Bandai Games,0,0,400000,0,400000
4877,Alpha Protocol,X360,Role-Playing,Sega,230000,130000,0,40000,400000
4878,Suzuki TT Superbikes,PS2,Racing,Jester Interactive,330000,10000,0,50000,400000
4879,Rumble Roses,PS2,Fighting,Konami Digital Entertainment,190000,150000,0,50000,390000
4880,Just Dance 2014,PS3,Misc,Ubisoft,170000,150000,0,70000,390000
4881,Fantastic Four: Rise of the Silver Surfer,PS2,Action,Take-Two Interactive,190000,150000,0,50000,390000
4882,Ultimate Spider-Man,XB,Action,Activision,260000,110000,0,20000,390000
4883,GRID 2,PS3,Racing,Codemasters,70000,230000,10000,90000,390000
4884,LEGO The Lord of the Rings,3DS,Action,Warner Bros. Interactive Entertainment,190000,170000,0,30000,390000
4885,Juiced 2: Hot Import Nights,PS2,Racing,THQ,190000,150000,10000,50000,390000
4886,Skylanders: SuperChargers,PS3,Action,Activision,150000,180000,0,60000,390000
4887,NHL 99,N64,Sports,Electronic Arts,380000,10000,0,0,390000
4888,NBA 2K10,Wii,Sports,Take-Two Interactive,360000,0,0,30000,390000
4889,Dungeon Siege III,PS3,Role-Playing,Square Enix,170000,140000,30000,60000,390000
4890,Viking: Battle for Asgard,PS3,Action,Sega,140000,180000,0,70000,390000
4891,Brunswick Pro Bowling,Wii,Sports,505 Games,360000,10000,0,30000,390000
4892,Monster Jam: Urban Assault,DS,Racing,Activision,370000,0,0,30000,390000
4893,Danball Senki,PSP,Role-Playing,Level 5,0,0,390000,0,390000
4894,NASCAR Heat,PS,Racing,Hasbro Interactive,220000,150000,0,30000,390000
4895,Bloody Roar,PS,Fighting,Virgin Interactive,220000,150000,0,30000,390000
4896,Bump 'n' Jump,2600,Racing,Mattel Interactive,370000,20000,0,0,390000
4897,Mobile Suit Gundam: Lost War Chronicles,PS2,Shooter,Namco Bandai Games,0,0,390000,0,390000
4898,Disney's Brother Bear,GBA,Action,THQ,280000,100000,0,10000,390000
4899,Naruto: Clash of Ninja Revolution 2,Wii,Fighting,Tomy Corporation,340000,20000,0,30000,390000
